Name,Position X,Position Y,Position Z
Point01,0.770729,71.723471,32.023431
Point02,0.768964,67.994664,32.754426
Point03,0.771503,63.763893,31.703049
Point04,0.773544,59.487465,30.857596
Point05,0.771194,55.404726,31.830826
Point06,0.765126,51.939961,34.34409
Point07,0.767357,47.785141,33.420229
Point08,0.771847,43.914193,31.560296
Point09,0.772885,39.579338,31.13061
Point10,0.776661,35.567448,29.56657
Point11,0.758433,24.439296,37.116585
Point12,0.734507,14.849077,47.026437
Point13,0.714191,3.956743,55.441183
Point14,0.701983,-8.780035,60.49783
Point15,0.701435,-22.49936,60.724706
Point16,0.711107,-35.631784,56.718446
Point17,0.727831,-47.554742,49.791471
Point18,0.74748,-58.67052,41.652989
Point19,0.77235,-67.749076,31.351947
Point20,0.788843,-69.165996,24.520815
Point21,0.805702,-69.716155,17.537609
Point22,0.822606,-69.924869,10.536105
Point23,0.839518,-69.961868,3.531562
Point24,0.855384,-69.699928,-3.040207
Point25,0.871236,-69.268248,-9.605966
Point26,0.887029,-68.5833,-16.147506
Point27,0.902468,-67.097315,-22.542021
Point28,0.929701,-58.153493,-33.822069
Point29,0.952786,-47.387137,-43.383589
Point30,0.969447,-34.747546,-50.284688
Point31,0.978435,-20.867405,-54.007286
Point32,0.977191,-6.479465,-53.492092
Point33,0.964448,6.842995,-48.213943
Point34,0.943945,18.470962,-39.721649
Point35,0.916981,27.620441,-28.553191
Point36,0.891067,37.173929,-17.819939
Point37,0.890986,41.150802,-17.786373
Point38,0.891757,45.165655,-18.105856
Point39,0.891985,49.192308,-18.200053
Point40,0.891507,53.215321,-18.002351
Point41,0.891621,57.230959,-18.049387
Point42,0.893542,61.178762,-18.84527
Point43,0.89621,65.051592,-19.950049
Point44,0.899368,68.861571,-21.258261
Point45,0.897709,72.208083,-20.571124
