Name,Position X,Position Y,Position Z
Point01,-41.317866,108.38599,8.582474
Point02,-43.705824,103.102313,8.758987
Point03,-37.627384,98.576902,8.891768
Point04,-32.137754,93.343853,9.048799
Point05,-27.789685,87.137001,9.239951
Point06,-24.682236,80.219722,9.456918
Point07,-22.76997,72.881164,9.690236
Point08,-21.810888,65.352068,9.931882
Point09,-22.037563,57.790868,10.177254
Point10,-24.138689,50.571815,10.415792
Point11,-43.797154,41.940961,10.739816
Point12,-62.563702,31.290014,11.127238
Point13,-76.876719,15.189321,11.681055
Point14,-85.594434,-4.462837,12.337208
Point15,-88.566645,-25.829342,13.035863
Point16,-86.628983,-47.317228,13.727329
Point17,-80.284179,-67.93125,14.380513
Point18,-69.368277,-86.534074,14.958214
Point19,-53.642923,-101.158641,15.396192
Point20,-40.094873,-103.692187,15.447551
Point21,-26.451587,-105.868138,15.487114
Point22,-12.76386,-107.709274,15.515734
Point23,0.985801,-109.011426,15.526759
Point24,13.567984,-108.891572,15.494379
Point25,26.142474,-108.493396,15.453004
Point26,38.658492,-107.194367,15.382588
Point27,51.023545,-104.942785,15.281667
Point28,68.703579,-92.911498,14.852006
Point29,81.455115,-75.540734,14.260596
Point30,89.150624,-55.418377,13.591532
Point31,93.065576,-34.254759,12.897311
Point32,91.51337,-12.731088,12.203814
Point33,83.971015,7.385348,11.569456
Point34,70.718045,24.359877,11.049778
Point35,53.280902,37.02551,10.679115
Point36,34.124973,46.979399,10.40016
Point37,29.981442,53.369245,10.202619
Point38,29.123073,60.979211,9.958126
Point39,29.498943,68.641989,9.709126
Point40,31.299633,76.103469,9.463418
Point41,34.218255,83.20034,9.226986
Point42,38.256532,89.727562,9.006464
Point43,43.237029,95.566073,8.806112
Point44,49.057351,100.573976,8.630755
Point45,47.499088,105.763219,8.466238
