Name,Position X,Position Y,Position Z
Point01,-3.819864,83.298952,-32.891867
Point02,-3.665015,78.749292,-34.221658
Point03,-3.487034,73.262334,-31.153842
Point04,-3.296439,67.437692,-28.78146
Point05,-3.096771,61.380539,-27.094397
Point06,-2.892352,55.208456,-25.88867
Point07,-2.686645,49.006641,-24.83858
Point08,-2.479402,42.771425,-24.010378
Point09,-2.26995,36.495572,-23.634597
Point10,-2.098424,31.577154,-27.270312
Point11,-1.883701,25.824091,-39.028742
Point12,-1.64289,19.268257,-50.364009
Point13,-1.455081,14.326221,-62.252377
Point14,-1.06627,3.045963,-68.15119
Point15,-0.633691,-9.955463,-66.661345
Point16,-0.199825,-22.994227,-65.191579
Point17,0.223099,-35.787567,-62.270587
Point18,0.623907,-48.022663,-57.526278
Point19,1.018363,-60.088072,-52.425542
Point20,1.163106,-64.99126,-42.064525
Point21,1.246769,-68.112174,-30.959246
Point22,1.291596,-70.088919,-19.575859
Point23,1.29782,-70.920575,-8.055388
Point24,1.268806,-70.674871,3.017985
Point25,1.227257,-70.053951,14.075701
Point26,1.14478,-68.202407,24.983292
Point27,1.011027,-64.797472,35.495953
Point28,0.608928,-53.138672,41.720382
Point29,0.18687,-40.816835,46.74947
Point30,-0.243216,-28.211133,50.991185
Point31,-0.682759,-15.253316,53.989484
Point32,-1.113205,-2.599711,57.568812
Point33,-1.486513,8.870492,51.819689
Point34,-1.705016,16.018134,40.712945
Point35,-1.940349,23.655628,29.834072
Point36,-2.130288,29.979959,18.197913
Point37,-2.322024,35.825803,16.055174
Point38,-2.532918,42.120768,16.106764
Point39,-2.743624,48.363292,16.993246
Point40,-2.953472,54.566372,18.126226
Point41,-3.162287,60.727134,19.464091
Point42,-3.36756,66.753446,21.313834
Point43,-3.566402,72.554014,23.764338
Point44,-3.756006,78.042268,26.865158
Point45,-3.906298,82.658563,24.578152
