Name,Position X,Position Y,Position Z
Point01,-16.842617,-5.852124,215.350513
Point02,-17.934859,-6.14825,208.063358
Point03,-16.987053,-5.840109,200.190055
Point04,-16.438689,-5.649722,192.275815
Point05,-16.196989,-5.549788,184.343803
Point06,-16.457474,-5.598321,176.477809
Point07,-21.713349,-7.129107,170.770371
Point08,-22.361405,-7.294636,163.625086
Point09,-21.465454,-7.003427,156.203073
Point10,-18.831921,-6.200456,149.090107
Point11,-35.93136,-11.205903,137.510692
Point12,-53.882123,-16.464476,126.442584
Point13,-68.367916,-20.684831,111.08175
Point14,-78.426676,-23.586844,92.494766
Point15,-81.027256,-24.277287,71.08827
Point16,-76.081328,-22.741079,49.911668
Point17,-65.301775,-19.492329,31.328934
Point18,-50.569526,-15.087966,15.823299
Point19,-35.184719,-10.493626,1.049053
Point20,-26.527458,-7.932603,-0.528458
Point21,-17.701287,-5.325794,-0.976824
Point22,-8.86334,-2.717047,-0.998709
Point23,-0.030171,-0.110854,-0.702923
Point24,8.105403,2.289879,-0.531526
Point25,16.243298,4.692285,-0.634101
Point26,24.38073,7.093668,-0.490574
Point27,32.469596,9.478723,0.205777
Point28,48.876956,14.27301,13.694135
Point29,63.483194,18.527896,29.338198
Point30,75.532189,22.020667,47.007866
Point31,81.829826,23.804617,67.787398
Point32,80.641993,23.376194,89.374805
Point33,71.160109,20.509703,108.170863
Point34,57.224287,16.338113,124.316108
Point35,40.033543,11.220486,136.381317
Point36,22.838857,6.103196,148.029822
Point37,26.685999,7.21382,154.944502
Point38,28.375164,7.685102,162.519012
Point39,29.927637,8.114445,170.535406
Point40,23.642667,6.242077,175.321742
Point41,22.210527,5.790719,183.266577
Point42,22.554375,5.862062,191.630576
Point43,23.653539,6.156602,199.924571
Point44,24.318043,6.322706,208.257172
Point45,23.034444,5.915944,215.993382
